stop_id,alt_stop_name
1,Grand Central
1,Grand Central Station
62,Mount Vernon West
62,Mt. Vernon West
105,Mount Vernon East
105,Mt. Vernon East
622,Yankees
622,Yankees - E153 St.
622,YANKEES- E 153RD ST
622,Yankees-E 153rd
76,No White Plains
76,N White Plains
76,N. White Plains
151,New Haven-State St.
151,New Haven - State St.
151,New Haven-State Street
151,New Haven - State Street
151,NH - State St.
151,NH - State Street
151,NH-State Street
151,State Street
151,State St
151,State St.
149,New Haven-Union Station
149,Union Station
1111,Branford
1111,Branford SLE
1111,Branford (SLE)
1112,Guilford
1112,Guilford SLE
1112,Guilford (SLE)
1113,Madison
1113,Madison SLE
1113,Madison (SLE)
1114,Clinton
1114,Clinton SLE
1114,Clinton (SLE)
1115,Westbrook
1115,Westbrook SLE
1115,Westbrook (SLE)
1116,Old Saybrook
1116,Old Saybrook SLE
1116,Old Saybrook (SLE)
1117,New London
1117,New London SLE
1117,New London (SLE)
