service_id,date,exception_type
WD,20180101,2
WE,20180101,1
WD,20180115,2
WE,20180115,1
WD,20180219,2
WE,20180219,1
WD,20180528,2
WE,20180528,1
WD,20180704,2
WE,20180704,1
WD,20180903,2
WE,20180903,1
WD,20170904,2
WE,20170904,1
WD,20181122,2
WE,20181122,1
WD,20171123,2
WE,20171123,1
WD,20181123,2
WE,20181123,1
WD,20171124,2
WE,20171124,1
WD,20171225,2
WE,20171225,1
D0,20171124,1
D0,20180115,1
D0,20180219,1
D1,20171013,1
D1,20171020,1
D1,20171027,1
D1,20171103,1
D1,20171110,1
D1,20171117,1
D1,20171122,1
D1,20171201,1
D1,20171208,1
D1,20171215,1
D1,20171222,1
D1,20171229,1
D1,20180105,1
D1,20180112,1
D1,20180119,1
D1,20180126,1
D1,20180202,1
D1,20180209,1
D1,20180216,1
D1,20180223,1
D1,20180302,1
D1,20180309,1
D1,20180316,1
D1,20180323,1
D1,20180330,1
D1,20180406,1
D1,20180413,1
D1,20180420,1
D1,20180427,1
D2,20171122,1
D2,20171222,1
D2,20171229,1
E0,20171122,2
E0,20171222,2
E0,20171229,2
E0,20180101,2
E0,20180115,2
E0,20180219,2
E0,20180528,2
E0,20180704,2
E0,20180903,2
E0,20170904,2
E0,20181122,2
E0,20171123,2
E0,20181123,2
E0,20171124,2
E0,20171225,2
