trip_id,arrival_time,departure_time,stop_id,stop_sequence
1600,5:30:00,5:30:00,NHV,1
1600,5:50:00,5:50:00,GUIL,2
1600,6:04:00,6:04:00,WES,3
1600,6:10:00,6:10:00,OSB,4
1600,6:30:00,6:30:00,NLC,5
1602,6:25:00,6:25:00,NHV,6
1602,6:27:00,6:27:00,ST,7
1602,6:38:00,6:38:00,BRN,8
1602,6:46:00,6:46:00,GUIL,9
1602,6:58:00,6:58:00,WES,10
1602,7:06:00,7:06:00,OSB,11
1604,6:55:00,6:55:00,NHV,12
1604,6:57:00,6:57:00,ST,13
1604,7:08:00,7:08:00,BRN,14
1604,7:16:00,7:16:00,GUIL,15
1604,7:28:00,7:28:00,WES,16
1604,7:36:00,7:36:00,OSB,17
1606,8:20:00,8:20:00,NHV,18
1606,8:22:00,8:22:00,ST,19
1606,8:33:00,8:33:00,BRN,20
1606,8:41:00,8:41:00,GUIL,21
1606,8:53:00,8:53:00,WES,22
1606,9:01:00,9:01:00,OSB,23
1610,8:15:00,8:15:00,STM,24
1610,8:26:00,8:26:00,SN,25
1610,8:45:00,8:45:00,BRP,26
1610,9:02:00,9:02:00,WH,27
1610,9:12:00,9:12:00,NHV,28
1610,9:16:00,9:16:00,NHV,29
1610,9:18:00,9:18:00,ST,30
1610,9:29:00,9:29:00,BRN,31
1610,9:37:00,9:37:00,GUIL,32
1610,9:49:00,9:49:00,WES,33
1610,9:57:00,9:57:00,OSB,34
1616,10:35:00,10:35:00,NHV,35
1616,10:37:00,10:37:00,ST,36
1616,10:48:00,10:48:00,BRN,37
1616,10:56:00,10:56:00,GUIL,38
1616,11:02:00,11:02:00,MAD,39
1616,11:07:00,11:07:00,CLIN,40
1616,11:12:00,11:12:00,WES,41
1616,11:18:00,11:18:00,OSB,42
1616,11:45:00,11:45:00,NLC,43
1621,5:10:00,5:10:00,OSB,44
1621,5:15:00,5:15:00,WES,45
1621,5:20:00,5:20:00,CLIN,46
1621,5:25:00,5:25:00,MAD,47
1621,5:31:00,5:31:00,GUIL,48
1621,5:40:00,5:40:00,BRN,49
1621,5:53:00,5:53:00,ST,50
1621,5:55:00,5:55:00,NHV,51
1622,13:08:00,13:08:00,NHV,52
1622,13:10:00,13:10:00,ST,53
1622,13:23:00,13:23:00,BRN,54
1622,13:31:00,13:31:00,GUIL,55
1622,13:36:00,13:36:00,MAD,56
1622,13:41:00,13:41:00,CLIN,57
1622,13:46:00,13:46:00,WES,58
1622,13:53:00,13:53:00,OSB,59
1626,14:10:00,14:10:00,NHV,60
1626,14:12:00,14:12:00,ST,61
1626,14:23:00,14:23:00,BRN,62
1626,14:31:00,14:31:00,GUIL,63
1626,14:36:00,14:36:00,MAD,64
1626,14:41:00,14:41:00,CLIN,65
1626,14:46:00,14:46:00,WES,66
1626,14:58:00,14:58:00,OSB,67
1627,5:37:00,5:37:00,OSB,68
1627,5:42:00,5:42:00,WES,69
1627,5:47:00,5:47:00,CLIN,70
1627,5:52:00,5:52:00,MAD,71
1627,5:58:00,5:58:00,GUIL,72
1627,6:07:00,6:07:00,BRN,73
1627,6:20:00,6:20:00,ST,74
1627,6:22:00,6:22:00,NHV,75
1632,15:24:00,15:24:00,NHV,76
1632,15:26:00,15:26:00,ST,77
1632,15:37:00,15:37:00,BRN,78
1632,15:45:00,15:45:00,GUIL,79
1632,15:50:00,15:50:00,MAD,80
1632,15:55:00,15:55:00,CLIN,81
1632,16:00:00,16:00:00,WES,82
1632,16:09:00,16:09:00,OSB,83
1633,5:50:00,5:50:00,NLC,84
1633,6:15:00,6:15:00,OSB,85
1633,6:20:00,6:20:00,WES,86
1633,6:25:00,6:25:00,CLIN,87
1633,6:30:00,6:30:00,MAD,88
1633,6:36:00,6:36:00,GUIL,89
1633,6:45:00,6:45:00,BRN,90
1633,6:58:00,6:58:00,ST,91
1633,7:00:00,7:00:00,NHV,92
1633,7:08:00,7:08:00,NHV,93
1633,7:13:00,7:13:00,WH,94
1633,7:32:00,7:32:00,BRP,95
1633,8:03:00,8:03:00,STM,96
1634,16:10:00,16:10:00,NHV,97
1634,16:12:00,16:12:00,ST,98
1634,16:23:00,16:23:00,BRN,99
1634,16:31:00,16:31:00,GUIL,100
1634,16:37:00,16:37:00,MAD,101
1634,16:42:00,16:42:00,CLIN,102
1634,16:47:00,16:47:00,WES,103
1634,16:55:00,16:55:00,OSB,104
1636,16:32:00,16:32:00,NHV,105
1636,16:34:00,16:34:00,ST,106
1636,16:45:00,16:45:00,BRN,107
1636,16:53:00,16:53:00,GUIL,108
1636,16:59:00,16:59:00,MAD,109
1636,17:04:00,17:04:00,CLIN,110
1636,17:09:00,17:09:00,WES,111
1636,17:15:00,17:15:00,OSB,112
1636,17:42:00,17:42:00,NLC,113
1637,6:51:00,6:51:00,OSB,114
1637,6:56:00,6:56:00,WES,115
1637,7:01:00,7:01:00,CLIN,116
1637,7:06:00,7:06:00,MAD,117
1637,7:12:00,7:12:00,GUIL,118
1637,7:21:00,7:21:00,BRN,119
1637,7:33:00,7:33:00,ST,120
1637,7:36:00,7:36:00,NHV,121
1637,7:40:00,7:40:00,NHV,122
1637,7:45:00,7:45:00,WH,123
