route_id,service_id,trip_id,trip_headsign
SLE,WD,1600,Eastbound
SLE,WD,1602,Eastbound
SLE,WD,1604,Eastbound
SLE,WD,1606,Eastbound
SLE,WD,1610,Eastbound
SLE,WD,1616,Eastbound
SLE,WD,1621,Westbound
SLE,WD,1622,Eastbound
SLE,D1,1626,Eastbound
SLE,WD,1627,Westbound
SLE,WD,1632,Eastbound
SLE,WD,1633,Westbound
SLE,D2,1634,Eastbound
SLE,WD,1636,Eastbound
SLE,WD,1637,Westbound
SLE,WD,1638,Eastbound
SLE,E0,1640,Eastbound
SLE,WD,1641,Westbound
SLE,D2,1642,Eastbound
SLE,WD,1644,Eastbound
SLE,WD,1645,Westbound
SLE,WD,1646,Eastbound
SLE,WD,1649,Westbound
SLE,WD,1651,Westbound
SLE,WD,1656,Eastbound
SLE,WD,1659,Westbound
SLE,WD,1667,Westbound
SLE,E0,1668,Eastbound
SLE,D2,1670,Eastbound
SLE,WD,1671,Westbound
SLE,WD,1674,Eastbound
SLE,D1,1675,Westbound
SLE,WD,1681,Westbound
SLE,WD,1682,Eastbound
SLE,WD,1687,Westbound
SLE,WD,1691,Westbound
SLE,WD,1695,Westbound
SLE,WD,1697,Westbound
SLE,WD,1699,Westbound
SLE,WD,174,Eastbound
SLE,WD,176,Eastbound
SLE,WD,178,Eastbound
SLE,WD,190,Eastbound
SLE,WD,2151,Westbound
SLE,WE,3034,Eastbound
SLE,WE,3042,Eastbound
SLE,WE,3600,Eastbound
SLE,WE,3604,Eastbound
SLE,D0,3609,Westbound
SLE,WE,3610,Eastbound
SLE,WE,3613,Westbound
SLE,D0,3615,Westbound
SLE,WE,3618,Eastbound
SLE,WE,3621,Westbound
SLE,WE,3626,Eastbound
SLE,WE,3629,Westbound
SLE,D0,3630,Eastbound
SLE,WE,3637,Westbound
SLE,WE,3638,Eastbound
SLE,WE,3645,Westbound
SLE,D0,3647,Westbound
SLE,WE,3652,Eastbound
SLE,WE,3653,Westbound
SLE,WE,3655,Westbound
SLE,WE,3658,Eastbound
SLE,WE,3661,Westbound
SLE,WE,3673,Westbound
SLE,WE,3690,Eastbound
SLE,WE,3699,Westbound
SLE,WD,93,Westbound
SLE,WD,94,Eastbound
SLE,WD,95,Westbound
